Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
Syfilis 		Infektionssygdomme 	Infektion med bakterien treponema pallidum. 	I 2017 blev der påvist 545 tilfælde.	Bakterien trænger ind i huden eller slimhinden der, hvor smitten har fundet sted, hvor der dannes et lille uømt sår. Bakterien spredes til blodet og kan inficeres stort set alle organer samt give symptomer herfra. Efter mange års ubehandlet syfillis vil sygdommen give senmanifestationer. 	Smitte sker typisk ved samleje, men kan også ske ved fødsel. Inkubationstid på omkring 3 og ekstremt langsom celledeling. 	Primær fase: Udvikles over 3 uger, Sår sidder i genital området eller i rectum, som svinder ind mellem 3-6 uger. Sekundær fase: Bakterie i hele kroppen, som giver udslæt på overkroppen, forandringer i genitalområdet, evt hævede lymfekirtler. I dette stadie kan meningitis være forårsaget af sygdommen. Latente stadium: Ingen symptomer, infektionen kan påvises via antistoffer i blodet. Tertiære fase: Ikke mange bakterier tilbage, nu er der komplikationer i CNS fx demens. Huden har hårde knudeforandringer, som danner sår. Denne fase er ikke længere hyppig. 	Bakterien findes ved mikroskopi efter skrab i sår, podning, symptomer på neurosyfillis kræver lumbalpunktur. 	F.eks. Demens, ændret gangfunktion. 	Behandles effektivt som injektionsbehandling af pencillin (1-3 injektioner). Behandling af tertiær syfillis kan forhindre yderligere tab af neurofunktioner. 	Beskyttet sex. Smitteopsporing. 	Opdages infektionen tidligt kan den kureres, opdages den sent vil den typisk have følgetilstande, der ikke kan kureres. 	Ikke pensum
Herpes genitalis		Infektionssygdomme 	Seksuelt overført viral infektion, der skyldes infektion med herpes simplexvirus 1 eller 2. 	Ca. 70-80% har antistoffer mod HSV-type 1, primært pga. forkølelssår i barndommen. Ca. 20-40% har antistoffer mod HSV-type 2, der er den primære årsag til herpes genitalis. Størstedelen af symptomatiske HSV-type 2 og op mod halvdelen HSV-type 1 vil få nye udbrud inden for første år efter primærinfektion. herefter vil tendensen falde. 	Infektionen sker via slimhinder eller små revner på kønsorganerne, oftest ved samleje eller oralsex. 	Skyldes smitte med bakterien HSV type 1 og/eller 2. Infektion med HSV-type 2 beskytter mod infektion med HSV-type 1, men ikke omvendt. Man er mest smitsom ved udbrud, men smitte kan ske asymptomatisk. 	Herpes genitalis er oftest asymptomatisk. Klassiske præsenterer primærinfektionen sig ved blærer, der brister og bliver til smertefulde overfladiske sår på både mænd og kvinder. Primærudbruddet kan være ledsaget af feber, almen utilpashed og smerter ved vandladning. Ved redicivudbrud er symptomerne typisk mildere. 	Der undersøges for HSV 1og 2 ved podning. Antistoffer i blodet kan påvises men anvendes sjældent. 		Kan ikke kureres, men udbrud kan forkortes med antiviral medicin. 	Pt informeres om ikke at have samleje under udbrud eller ved varselssymptomer og konsekvent anvende kondom. 	Det første år efter primærudbrud er præget ved redicivudbrud (især ved HSV-type 2), hvorefter udbruddene aftager. 	Ikke pensum
Kondylomer 		Infektionssygdomme 	Seksuelt overført viral infektion, der skyldes smitte med HPV. 	Findes hos ca. 1-2% af befolkningen i DK. 	Virusset trænger ind i huden gennem små rifter og etablerer infektion, der kan vise sig som synlige vorter. Det er virusset fjernes fra kroppen eller om det er latent i huden. 	HPV-type 6 og 11 smitter overvejende ved samleje. HPV-type 16 og 18 er såkaldt kræftfremkaldende vira, der kan medføre celleforandringer. 	Kondylomer er ofte uden symptomer, bortset fra at pt kan mærke en knop eller flere. Der ses kløe. Kan påvirke vandladningen. Kondylomer kan sidde på kønslæber, på cervix, i uretra, i mellemkødet, på forhuden og penisskaftet samt inden og uden for analkanalen. 	En klinisk diagnose. Kun i tvivlstilfælde skal der tages biopsi. 	Pt kan i sjældne tilfælde udvikle smertesyndromer uden synlige forandringer. 	Hjemmebhandling med lokalbehandling er tyspisk creme, der hæmmer celledelingen. Klinibaseret behandling iform af frysning, syre, afklipning, laser eller kirurgi. Alle behandlinger kan give efterfølgende smerte og sårdannelse og der ses rediciv hos 20-30%. 	Kondom, HPV-vaccine. 	Gennemsnitlig varighed på ca. 18 måender. 	Mellem
HIV-infektion 		Infektionssygdomme 	HIV er en infektionssygdom fremkaldt af et virus (retrovirus). 	I 2016 anslog WHO 37,4 mimo mennesker globalt smittet. Ses især i den tredje verden. I DK ca. 6000 smittede. 	To beslægtede virusarter HIV-1 og HIV-2 kan forårsage infektion og den immundefekt, der udvikles med tiden. virus' livcyklus: 1) binding til receptorer og indtrængen i værtscellen. 2) omformning af RNA til DNA. 3) Integrering i værtscellens DNA. 4) aktivering af det provirale DNA (fjerner lysis egenskaben). 5) transskribering og dannelse af virusproteiner ved hjælp af cellens eget enzymsystem (polymerase). 6) samling af peptidstykker til det komplette virus og løsrivelse fra cellen. || virus indhylles nu i cellemembranen indeholdende proteiner fra virus, der sker nu en spaltning af virale proteiner ved hjælp af et proteaseenzym, denne reaktion modner virus. 	Begge HIV-typer smitter udelukkende seksuelt samt med blod og blodprodukter. 	Feber, halsbetændelse, udslæt, hævede lymfeknuder, tegn på nedsat immunforsvar: helvedesild, pneumoni, svære udbrud af herpes, mundsvamp. 	påvisning af antistoffer mod HIV danner grundlag for diagnosen. I dag anvendes ELISA-testen. 	Alle følgetilstande til det nedbrudte immunapparat, med undtagelse af HIV-demens. Den vigtigste er tuberkulose. Derudover kan den lede til en betændelsestilstand, der medfører en øget risiko for hjerte-kar-sygdom.	Hæmning af virusproduerende enzymer. Ved farmakologisk bekæmpelse bruges bruges tre stoffer samtidigt, da HIV let kan blive immunt, man bruger HAART (highly active anti retroviral treatment) eller cART (combination anti retroviral treatment), begge med standartbehandling på én tablet dagligt. 	Beskyttet samleje, sanitære forhold ved stiknarkomani og på hospitaler, øge testaktiviteten og nedbringe taburiseringen. Teste gravide og tilbyde behandling. 	Ca. 20-30 dør årligt i DK, men det står værre til i tredjeverdenslande. 	Mellem
Malaria	Stor	Infektionssygdomme 	Malaria er en infektion forårsaget af encellede parasitter	Malaria er udbredt i tropiske og subtropiske områder	Overføres via myg, hvor parasitterne overføres når den stikker. 	skyldes infektion med protozoer tilhørende arten plasmodium. overføres af myg og herved sker overførsel af parasitter. efter 15-45 min i blodet er parasitterne i leveren og formerer sig. levercellerne sprænges efter 1-3 mdr og parasitterne kommer således i ud blodet. erytrocytter sprænges og frigiver cytokiner, hvilket udløser feber. 	Hovedsymptom er feber. utilpashed, træthed, hovedpine, muskelsmerter, tør hoste, diarré. senere: malariaanfald som: kulderystelser, høj feber efterfulgt af temperaturfald og profust svedudbrud. Forstørret milt, ikterus og mærkfarvning af urin. Let forhøjet CRP, let ænemi, trombocytopeni, let nedsat leukocyttal evt let leverpåvirkning.	mikroskopi af bloddråbe. test for malariaspecifikke-antigener. PCR-teknik kan påvise malariaparasitter.	rettidig diagnostik og behandling medfører ingen følgesygdomme. gentagen malaria kan føre til forstørret milt. desuden kan cerebral malaria give neurologiske sygdomme og hos gravide kan fosteret dø. 	antibiotika og antiparasitære lægemidler. 	Ved ophold i malariaområder er det vigtigt med beskyttende klæder, myggebalsam og imprægneret myggenet. Til mange geografiske områder anbefales medicinsk forebyggelse. 	ubehandlet - høj dødelighed. I DK dør 0-2 årligt af malaria. I Afrika er det en af de største dødsårsager - specielt børn under 5 år.	Ikke pensum
Cancer mamma (brystkræft)		Kræftsygdomme	Kærftsygdomme der opstår i brystets kritelvæv. 	Ca. 4000 årlige tilfælde. Blandt mænd forekommer den sjældent og der ses ca. 40 årlige tilfælde. 		Årsagen er ofte ukendt, men en række faktorer øger risikoen. Tidlig menstruation, sen menopause, ingen eller sene fødsler, overvægt, alkoholindtagelse og genetisk disposition. Ca. 10% af tilfældene er arvelige. 	Ofte meget få symptomer. Tyisk findes en knude i brystet tilfældigt eller ved selvundersøgelse. Der kan ses spænding og ømhed i brystet. Smerter og ubehag i armhulen, hvis sygdommen har spredt sig til lymferne. 	Ved mistanke om brystkræft foretages mammografi, ultralydsscanning af bryst og armhule, hvis noget at dette givr anledning til yderligere mistanke tages biopsi. Diagnosen stilles efter undersøgelse af biopsi. 	Vedvarende smerte eller sensibilitetsændringer i det opererede område, lymfødem arm, overgangsalder ---> osteoporose, tørre slimhinder, påvirket seksualliv, stive led og muskelsmerter, føleforstyrrelser i hænder og fødder. 	Kirurgi: brystbevarende operation, hvor kun tumor og minimalt omkringliggende væv fjernes eller mastektomi hvor hele brystet fjernes. Vha. skildvagtsprocedure undersøges det om der er spredning til lymfeknuderne, hvis der er tegn på spredning fjernes alle lymfeknuder i armen. Adjuverede behandling: strålebehandling og/eller medicinsk behandling (kemo, hormonel behandling eller anstistofbehandling).  		Femårsoverlevelse 85%. 75% oplever sene rediciver. 	Høj
Cancer pulmonis (lungekræft)		Kræftsygdomme	Kærftsygdomme der opstår i lungevævet eller luftvejene. 	Ca. 4500 årlige tilfælde. 		Mere en 90% af tilfældene skyldes rygning. Jo mere man ryger, jo større bliver risikoen. De resterende tilfælde er muligvis passiv rygning, luftforurening, absesteksponering, radon og røngent. 	Vedvarende hoste, opspyt (evt. med blod), hyppige lungebetændelser, vejrtrækningsbesvær, hæshed og smerter i brystet. Træthed og vægttab ses også. 	Diagnose stilles vha. CT-scanning af thorax, bronkoskopi samt biopsi fra det mistænkte område. Inddeles i småcellet og ikke-småcellet, hvilket har betydning for behandling. 		Ikke-småcellet: operation, kemoterapi, strålebehandling, immunterapi. Småcellet: kemoterapi og strålebehandling, operation er sjældent, da den typisk har spredt sig uden for lungerne. 	Ikke ryge. 	Dårlig. Femårsoverlevelsen er ca. 15%. 	Høj
Cancer coli et recti (tyk- og endetarmskræft		Kræftsygdomme	Kræftsygdomme der opstår i kirtelvævet i tyk- eller endetarm. 	Ca. 3200 årlige tilfælde. 		Ofte ukendt, men en række faktorer der øger risikoen: overvægt, alkohol, type 2-diabetes og kronisk tarmbetændelse. 	Vage og uspecifikke symptomer, hvorfor sygdommen ofte har spredt sig. Symptomerne afhænger af hvor tumoren sidder. Blodmangel, afførringstrang, fornemmelse af ikke at have tømt tarmen helt, smerterr og uregelmæssigt afførringsmønster med skiftevis diarré og forstoppelse, frisk blod i afføringen, akutte mavesmerter eller hul på tarmen. 	Ved mistanke foretages rektal eksploration, kikkertundersøgelse, biopsi og scanning. 	Midlertidlig eller permanent stomi, impotens, slap lukkemuskel og inkontinens, sviende afføring, nerveskader grundet kemoterapi. 	Kirugi (typisk anlægges midlertidig eller permanent stomi), præoperativ strålebehandling og kemoterapi, adjuverende kemo og stråling. Hvis sygdommen har spredt sig og lokalbehandling ikke er mulig er det sjældent at pt heldbredes, her gives palliativ behandling med henblik på symptomlindring. 	yngre, raske familiemedlemmer kontrolleres hyppigt med kikkertundersøgelse og kan få tilbudt forebyggende fjernelse af tyk- eller endetarm. Screening af afføringsprøver. 	Femårsoverlevelse ca. 65%. Overlevelsen er meget afhænig af hvornår den opdages. 	Høj
Cancer prostatae (blærehalskirtelkræft eller prostatakræft)		Kræftsygdomme	Kræftsygdomme der opstår i kirtelvævet i prostata. 	Hyppigste kræfttype hos mænd, typisk over 50 år. Ca. 4500 årlige tilfælde. 		Åsagerne er ukendt, men 10% er arvelig disposition. 	Kan være helt uden symptomer. Hyppig vandladning, igangsætningsbesvær, slap urinstråle, blod i sæden, lokale smerter i sædepartiet, hævelse af ben og pund, knoglemetastaer medfører typisk brud og kan trykke på rygsøjlen og give lammelser af arme og ben. 	Måling af PSA i blodet, bopsi fra prostata, staidum bestemmes med fingerundersøgelse og transrektal ultralydsscanning, CT- MR og ultralydsscanning benyttes til at undersøge spredning til lymfeknuder og knogleskintigrafi og MR til at bestemme metastater i knoglerne. 	Efter operation: Impotens, urininkontinens. Stråling: vandladnings- og afføringsgener. Hormon: vægtøgning, brystkirtler, diarré, tab af potens. 	Strålebehandling, prostatatektomi (opreation), brakyterapi (invendig stråling), kryoterapi (fryseterapi), palliativ behandling: kemoterapi, hormonbehandling. 	Undgå meget forkullet mad. 	Femårsoverlevelse ca. 85%. 	Høj
Cancer cervicis uteri (livmoderhalskræft)		Kræftsygdomme	Kræftsygdomme der opstår i slimhinden i cervix. 	Ca. 380 årlige tilfælde. 		Skyldes typisk infektion med HPV-infektion, idet mere end 90% af patienterne er HPV-positive. Envidere medfører tobaksrygning en risiko. 	Pletblødning og øget udflåd fra skeden. 	Ved gynækologisk undersøgelse tage en biopsi. Underøgelse af blære og endetarm samt scanning for at undersøge spredning af sygdommen. 	Smerter, tørhed i skeden, nedsat sexlyst, gener fra blære og endetarm: diarré, blod i urin eller afføringsfistler. 	Afhænger af stadie. Keglesnitsoperation, fjernelse af livmoder og lymfeknuder, strålebehandling (udvendige og indvendige) kemoterapi. 	Vaccination med HPV-vaccine. 	Femårsoverlevelse ca. 70%. 	Ikke pensum
Cancer ovarii (æggestokkræft)		Kræftsygdomme	Kræftsygdomme der opstår i æggestokkens væv. 	Ca. 600 årlige tilfælde. Størst hyppighed ved 65-75 år. 		Genetisk disposition, ukendt, større risiko hos kvinder der ikke har født børn, hos overvægtige eller kvinder der har fået hormonel behandling i overgangsalderen, PCOS. 	Vage og ukarakteristiske symptomer: opspilet mave, uforklaret vægtstigning, vandladningssymptomer, forstoppelse og træthed. 	Gynækologisk undersøgelse, ultralydsscanning, evt. kikkertundersøgelse af bughulen, blodprøve. 	Efter operation kan der forekommer smerter i bughulen. Kroniske væskeansamlinger som følge af fjernede lymfeknuder. 	Operation med fjernelse af æggestokke, æggeledere og livmoder, kombinationskemoterapi. 		Femårsoverlevelse er 40%. 	Ikke pensum
